Recorded Date,"Optionally, please describe any setup required in the room (as seen in the pictures) before you could play your game. Specifically, please list which objects your game uses and where in the room they need to be to play your game:



Please use the specific names for the items as provided in the table above.","Please describe a game you could play in this room:



Please use the specific names for the items as provided in the table above.","Please explain the scoring system for your game:



Please use the specific names for the items as provided in the table above.",How hard would you think your game is?,What do you imagine you would score on the first time playing your game?,"Please tell us, in a few sentences, about the strategy you used to create games. What did you consider? How did you go about it?",Did you have any technical difficulties while completing the experiment?,Do you have any questions or comments for us?
12/8/2020 18:34:55,"3 pyramidal blocks, 3 bridge blocks, 3 golfballs,3 tall cylindrical blocks, 3 cube blocks, 3 dodgeballs, 3 short cylindrical blocks","build a tower with the figures, make a ramp to see if you can knock down the tower or go through a hole",for each figure knocked down is 1 point,Very Easy,6,mainly objects and creativity,not really,put some different objects
12/8/2020 18:39:09,"I would pile all of the bridge blocks,  and the rectangular blocks and prop them in front of the desk, and I would put also the mug on the desk, centered with the blocks underneath.","So, the game would consist in trying to get the golfballs into the mug, by bouncing them on top of the piled rectangular blocks and bridge blocks, while sitting at the other end of the room, eg. on the bed.",Every time you get a golfball into the mug counts as a single point,Medium,2,"I thought about something easy to achieve, I don't like moving a lot of stuff around just to pass the time",Not at all,no
12/8/2020 18:40:49,Grab the 3 golf balls,Using the 3 golf balls start to juggle them and time yourself using the alarm clock.,"Each 30 seconds of juggling is worth 10 points, if you manage to lose one ball every 30 seconds is then worth 5 points. If you managed to juggle longer than two minutes with all 3 balls you receive 100 points on top of the points you have already collected but if you only manged to complete two minutes with 2 balls you only receive 50 points on top of your already collected points. The maximum score is 140 points. ",Very Hard,75,I looked at the objects provided and thought what I would do in each situation. ,No.,No.
12/8/2020 18:45:01,Prepare one of the large triangular ramps and place it in the doggie bed.,Try to stand on the hypotenuse side of the large triangular ramp while balancing it on its right-angled edge.,Have a stopwatch in one hand while balancing and time it. Seconds balanced = score.,Very Hard,1.5,"I mainly considered what I think I would find fun and challenging when using some of the items available in the room. All my games involved some kind of physics-oriented solution so there is always room to learn and improve ones knowledge of how the items in use interact with one another, as well as the player.",No,No
12/8/2020 18:45:43,,Room Escape,It is a kind of game call escape something that the goal is escape from the place by searching the objects to find clues and keys to escape. Less time you take to escape better the score,Very Hard,2/3 stars,I consider a lot the room in question and remind me of games already created in same spot,No,"No
"
12/8/2020 19:04:56,The two large triangular ramps are placed next to each other in the middle of the room.,"The two large triangular ramps are placed next to each other in the middle of the room. The player must slide through them, sit in one of the chairs, spin 4 times, throw all the 3 dodgeballs into the hexagonal bin and then keep the beachball in the air for 20 seconds. The circuit will be timed by the cellphone on the desk. ","Circuit done under 40 seconds: 20 points
Circuit done in 50 seconds:18 points
Circuit done in 60 seconds: 15 points
Circuit done over 60 seconds:13 points",Medium,18,I tried to create simple and easy games that are also fun and help to pass the time. ,Not really.,"No, thank you."
12/8/2020 19:14:10,"3 golfballs, hexagonal bin, 3 triangular blocks, 3 tall cylindrical blocks, curved wooden ramp","Place curved wooden ramp and then in front of it place hexagonal bin. place 2 tall cylindrical blocks before curved wooden ramp and roll 3 golfballs in order to pass between the 2 tall cylindrical blocks, through the curved wooden ramp and then falling in
the hexagonal bin. ","5 rounds, 3 golfballs each round. Each golfball passing between 2 tall cylindrical blocks and landing inside hexagonal bin gives 5 points. Lose 1 point for each tall cylindrical block the golfball touches and lose 2 points if it doesnt land inside the hexagonal bin.",Hard,10,I triend using common sence and imagine what would I actually do if I was in those specific situations described. ,No,No
12/8/2020 19:30:26,"3 golfballs, curved wooden ramp, hexagonal bin and a mug","You can play a game of throwing three golfballs into something. You can throw the golfballs into 2 recipients, the hexagonal bin and the mug, the balls have to slide on the curved wooden ramp, if not, you don't get any points. Throwing the golfballs into the mug gets you a higher score, but if you throw them into the hexagonal bin you get points too, but less than in the bucket",Scoring into the mug gives you 10 points and into the hexagonal bin only gives you 5.,Easy,15 points,"I just took into account the fun factor, being easy to do and accessibility.",No,No
12/8/2020 20:49:23,"3 golfballs, mug,3 flat rectangular blocks,2 large triangular ramps, curved wooden ramp,desk lamp","Create a  an obstacle course with the following objects (flat rectangular blocks,2 large triangular ramps, curved wooden ramp,) and  hit the 3 golfballs into the mug with the desk lamp",For a score of 100 you must center the  3golfballs inside the mug 10 times,Hard,Score of 50,just looked at the items and imagined whatever simple things could be done,No,No
12/8/2020 21:03:13,,"The objective is to guess the right color of one dodgeball and one golfball and get them down from the shelf using large triangular ramp and curved wooden ramp. The player must use the correct blocks to construct a ramp to get the most points. Clues to the puzzle can be found by interacting with the desktop computer, CD, poster, teddy bear, textbook and rug.","2 points for each correct block. The blocks are: 2 tall cylindrical blocks, 2 bridge blocks, 2 cube blocks, 2 flat rectangular blocks, 2 triangular blocks.      ",Easy,20,I wanted the player to search the room for objects which will provide the clues to the solution of a simple puzzle or a quest objective. The player must apply the information corretly in order to 'win' the game. These games would probably be most suited for children.,None.,None.
