,trace_id,arg_1_id,arg_2_id,overlap
0,me2bPEvz4glQ1Q8GSfm8-gameplay-attempt-7-rerecorded,Watch|+03.07|+00.79|-00.45,CD|+02.99|+00.79|-00.37,445
1,me2bPEvz4glQ1Q8GSfm8-gameplay-attempt-7-rerecorded,CD|+02.99|+00.79|-00.37,Watch|+03.07|+00.79|-00.45,445
2,rTVvF1dBAKE8juHCF69f-preCreateGame-rerecorded,TallRectBlock|-02.95|+02.05|-02.31,TallRectBlock|-02.95|+02.05|-02.52,979
3,rTVvF1dBAKE8juHCF69f-preCreateGame-rerecorded,TallRectBlock|-02.95|+02.05|-02.31,TallRectBlock|-02.95|+02.05|-02.52,979
4,rTVvF1dBAKE8juHCF69f-preCreateGame-rerecorded,TallRectBlock|-02.95|+02.05|-02.31,TallRectBlock|-02.95|+02.05|-02.52,979
5,rTVvF1dBAKE8juHCF69f-preCreateGame-rerecorded,TallRectBlock|-02.95|+02.05|-02.31,TallRectBlock|-02.95|+02.05|-02.52,979
6,rTVvF1dBAKE8juHCF69f-preCreateGame-rerecorded,TallRectBlock|-02.95|+02.05|-02.31,TallRectBlock|-02.95|+02.05|-02.52,979
7,rTVvF1dBAKE8juHCF69f-preCreateGame-rerecorded,TallRectBlock|-02.95|+02.05|-02.31,TallRectBlock|-02.95|+02.05|-02.52,979
8,rTVvF1dBAKE8juHCF69f-preCreateGame-rerecorded,TallRectBlock|-02.95|+02.05|-02.31,TallRectBlock|-02.95|+02.05|-02.52,979
9,rTVvF1dBAKE8juHCF69f-preCreateGame-rerecorded,TallRectBlock|-02.95|+02.05|-02.31,TallRectBlock|-02.95|+02.05|-02.52,979
10,rTVvF1dBAKE8juHCF69f-preCreateGame-rerecorded,TallRectBlock|-02.95|+02.05|-02.31,TallRectBlock|-02.95|+02.05|-02.52,979
11,rTVvF1dBAKE8juHCF69f-preCreateGame-rerecorded,TallRectBlock|-02.95|+02.05|-02.31,TallRectBlock|-02.95|+02.05|-02.52,979
12,rTVvF1dBAKE8juHCF69f-preCreateGame-rerecorded,TallRectBlock|-02.95|+02.05|-02.52,TallRectBlock|-02.95|+02.05|-02.31,979
13,rTVvF1dBAKE8juHCF69f-preCreateGame-rerecorded,TallRectBlock|-02.95|+02.05|-02.52,TallRectBlock|-02.95|+02.05|-02.31,979
14,rTVvF1dBAKE8juHCF69f-preCreateGame-rerecorded,TallRectBlock|-02.95|+02.05|-02.31,TallRectBlock|-02.95|+02.05|-02.52,979
15,rTVvF1dBAKE8juHCF69f-preCreateGame-rerecorded,TallRectBlock|-02.95|+02.05|-02.31,TallRectBlock|-02.95|+02.05|-02.52,979
16,rTVvF1dBAKE8juHCF69f-preCreateGame-rerecorded,TallRectBlock|-02.95|+02.05|-02.52,TallRectBlock|-02.95|+02.05|-02.31,979
17,rTVvF1dBAKE8juHCF69f-preCreateGame-rerecorded,TallRectBlock|-02.95|+02.05|-02.52,TallRectBlock|-02.95|+02.05|-02.31,979
18,rTVvF1dBAKE8juHCF69f-preCreateGame-rerecorded,TallRectBlock|-02.95|+02.05|-02.52,TallRectBlock|-02.95|+02.05|-02.31,979
19,rTVvF1dBAKE8juHCF69f-preCreateGame-rerecorded,TallRectBlock|-02.95|+02.05|-02.52,TallRectBlock|-02.95|+02.05|-02.31,979
20,rTVvF1dBAKE8juHCF69f-preCreateGame-rerecorded,TallRectBlock|-02.95|+02.05|-02.52,TallRectBlock|-02.95|+02.05|-02.31,979
21,rTVvF1dBAKE8juHCF69f-preCreateGame-rerecorded,TallRectBlock|-02.95|+02.05|-02.52,TallRectBlock|-02.95|+02.05|-02.31,979
22,rTVvF1dBAKE8juHCF69f-preCreateGame-rerecorded,TallRectBlock|-02.95|+02.05|-02.31,TallRectBlock|-02.95|+02.05|-02.52,979
23,rTVvF1dBAKE8juHCF69f-preCreateGame-rerecorded,TallRectBlock|-02.95|+02.05|-02.31,TallRectBlock|-02.95|+02.05|-02.52,979
24,rTVvF1dBAKE8juHCF69f-preCreateGame-rerecorded,TallRectBlock|-02.95|+02.05|-02.52,TallRectBlock|-02.95|+02.05|-02.31,979
25,rTVvF1dBAKE8juHCF69f-preCreateGame-rerecorded,TallRectBlock|-02.95|+02.05|-02.31,TallRectBlock|-02.95|+02.05|-02.52,979
